,Close
2025-04-19 18:37:42.196881,60343584049725.79
2025-04-19 19:37:42.196881,53798916505284.67
2025-04-19 20:37:42.196881,52845361746194.01
2025-04-19 21:37:42.196881,52172718566504.66
2025-04-19 22:37:42.196881,48588069527931.55
2025-04-19 23:37:42.196881,51220113634137.52
2025-04-20 00:37:42.196881,50480580616438.21
2025-04-20 01:37:42.196881,47284807251392.91
2025-04-20 02:37:42.196881,49284179987906.46
2025-04-20 03:37:42.196881,49094033736095.82
2025-04-20 04:37:42.196881,47093934229983.18
2025-04-20 05:37:42.196881,47093934229983.18
2025-04-20 06:37:42.196881,47018281367778.74
2025-04-20 07:37:42.196881,45936450056000.07
2025-04-20 08:37:42.196881,45837878043584.33
2025-04-20 09:37:42.196881,45513807233403.68
2025-04-20 10:37:42.196881,43336526736125.55
2025-04-20 11:37:42.196881,43816660268746.92
2025-04-20 12:37:42.196881,42415649580499.94
2025-04-20 13:37:42.196881,42177705361089.31
2025-04-20 14:37:42.196881,42091619111566.2
2025-04-20 15:37:42.196881,41944237358534.17
2025-04-20 16:37:42.196881,42144883496919.72
2025-04-20 17:37:42.196881,42144883496919.72
2025-04-20 18:37:42.196881,43342699588950.625
2025-04-20 19:37:42.196881,43162093639323.97
2025-04-20 20:37:42.196881,43215216707433.91
2025-04-20 21:37:42.196881,43053458860770.36
2025-04-20 22:37:42.196881,42994094278638.85
2025-04-20 23:37:42.196881,42994094278638.85
2025-04-21 00:37:42.196881,42994094278638.85
2025-04-21 01:37:42.196881,42632326968166.82
2025-04-21 02:37:42.196881,42632326968166.82
2025-04-21 03:37:42.196881,42632326968166.82
2025-04-21 04:37:42.196881,42584131596644.09
2025-04-21 05:37:42.196881,42584131596644.09
2025-04-21 06:37:42.196881,42584131596644.09
2025-04-21 07:37:42.196881,42584131596644.09
2025-04-21 08:37:42.196881,42584131596644.09
2025-04-21 09:37:42.196881,42628996434386.53
2025-04-21 10:37:42.196881,41386519300302.375
2025-04-21 11:37:42.196881,41533901053334.41
2025-04-21 12:37:42.196881,41593265635465.91
2025-04-21 13:37:42.196881,41451310149610.49
